A=8049 B=9482 C=5390 X=670822809 Y=9818700220 Z=85300090799 M=9787
A=8845 B=8773 C=8787 X=846085223 Y=1513137916 Z=16397219944 M=4411
A=4882 B=9350 C=8446 X=816222873 Y=7363821772 Z=51392450220 M=4198
A=4060 B=9615 C=9394 X=124525131 Y=9340859861 Z=64193617658 M=8671
A=6320 B=9262 C=5388 X=753897913 Y=5959818548 Z=38695990848 M=6466
A=8258 B=6983 C=8365 X=984332061 Y=5019860139 Z=88650612808 M=4792
A=3070 B=5721 C=9712 X=901070489 Y=2683773756 Z=21467572131 M=4002
A=3841 B=3850 C=5019 X=485127603 Y=8940219492 Z=70834580941 M=1366
A=9139 B=5462 C=5220 X=797633082 Y=2536813703 Z=75374829743 M=9547
A=5354 B=6877 C=9950 X=699540823 Y=8308650219 Z=22256278684 M=5254
A=4863 B=4363 C=7356 X=286710712 Y=5975724636 Z=81916649604 M=2795
A=6448 B=9103 C=7297 X=267657854 Y=7641912358 Z=76162805335 M=2617
A=7260 B=9486 C=7078 X=569624727 Y=3885234019 Z=77435942572 M=9296
A=6337 B=9449 C=6920 X=496253832 Y=8725931368 Z=27669064673 M=8352
A=2470 B=5954 C=6175 X=494036452 Y=8185860709 Z=39949150404 M=5326
A=8349 B=3885 C=9715 X=141673166 Y=4401963223 Z=32868826460 M=1147
A=9429 B=8332 C=5110 X=409649430 Y=1078787193 Z=25091835897 M=1621
A=7448 B=6445 C=6297 X=904329196 Y=5142985138 Z=29072256209 M=3346
A=4688 B=6118 C=5692 X=899497524 Y=2284223984 Z=41901358426 M=8891
A=4780 B=5878 C=5036 X=316517731 Y=9870900111 Z=42569694156 M=5127
A=2217 B=3250 C=8127 X=574746404 Y=2139210517 Z=38111122292 M=9286
A=9630 B=4152 C=9473 X=122543390 Y=9496087019 Z=94271725155 M=3851
A=2410 B=7611 C=9142 X=670065625 Y=4808360916 Z=87646096451 M=3732
A=7518 B=8755 C=6878 X=671286409 Y=4936155282 Z=51341628374 M=8888
A=3464 B=4161 C=9392 X=214263869 Y=9117783748 Z=29424596612 M=1064
A=9248 B=4840 C=9230 X=190498260 Y=4954731832 Z=35434045105 M=3982
A=2246 B=7779 C=8682 X=846472011 Y=5885535934 Z=27317887439 M=8422
A=7761 B=8502 C=6018 X=216797699 Y=3901304708 Z=94017101258 M=2008
A=9423 B=9044 C=8047 X=732953856 Y=7854015641 Z=80569931082 M=9498
A=3188 B=4873 C=8104 X=380841522 Y=2307312406 Z=46583358588 M=6173
A=4434 B=5678 C=8553 X=178395585 Y=8842817423 Z=31868259701 M=1007
A=6628 B=8768 C=7478 X=715814182 Y=4073580933 Z=84410682019 M=5162
A=8859 B=6697 C=5303 X=515780707 Y=2933114523 Z=85146152285 M=4592
A=2870 B=7950 C=6646 X=565325837 Y=7834677744 Z=47074662755 M=5034
A=6792 B=9431 C=6002 X=608492821 Y=5129778367 Z=32926444749 M=3037
A=2053 B=4937 C=7579 X=457513273 Y=1710063545 Z=30260392898 M=4613
A=7991 B=7749 C=5418 X=475579503 Y=5303867692 Z=83920719726 M=9886
A=4755 B=5914 C=5606 X=521559913 Y=3614168989 Z=27454469580 M=6210
A=8483 B=9922 C=8673 X=746600100 Y=5039745815 Z=65516141892 M=3885
A=7504 B=3301 C=6671 X=432706869 Y=6974699737 Z=83920563878 M=1462
A=2537 B=5889 C=6289 X=256674982 Y=3081447648 Z=24145125972 M=9832
A=8555 B=3029 C=6099 X=728025027 Y=7882999740 Z=84229568863 M=9470
A=8320 B=9204 C=8914 X=504643881 Y=2107205306 Z=11115114121 M=9154
A=9344 B=5231 C=7013 X=836977429 Y=2695012893 Z=56984384157 M=3206
A=9333 B=3378 C=5847 X=771809243 Y=5756660153 Z=83854986110 M=9480
A=2055 B=5931 C=8724 X=846857765 Y=8676390336 Z=11798882803 M=3571
A=5018 B=9861 C=6970 X=727965460 Y=8581846461 Z=57482641606 M=3189
A=6338 B=6267 C=5677 X=700348974 Y=2822730727 Z=62277343553 M=5084
A=8417 B=8274 C=7455 X=578688107 Y=9467357276 Z=90937908103 M=7895
A=8763 B=5667 C=8754 X=270875993 Y=8237110369 Z=61922033755 M=9141
A=3507 B=9825 C=5993 X=761460861 Y=1016479559 Z=71325775224 M=4479
A=7661 B=3513 C=5163 X=206415364 Y=8052266932 Z=76620735898 M=3031
A=2607 B=7892 C=5709 X=612207986 Y=2382916158 Z=67374540696 M=2353
A=7933 B=6360 C=8815 X=296153594 Y=2958001856 Z=15399136056 M=7783
A=7938 B=4389 C=8032 X=546352525 Y=5211909147 Z=25086588334 M=6703
A=2564 B=7762 C=6662 X=598534710 Y=7328277049 Z=11338896566 M=8821
A=4353 B=8347 C=7920 X=900316431 Y=1388528285 Z=88087882551 M=4750
A=3723 B=5284 C=9037 X=998464047 Y=4830466019 Z=59957714944 M=8183
A=3250 B=4866 C=8747 X=454554686 Y=6860289582 Z=26027018762 M=6454
A=2910 B=8915 C=8042 X=787757010 Y=2142291034 Z=65995370316 M=9449
A=7819 B=3763 C=9404 X=791983583 Y=9418703426 Z=21719725423 M=8176
A=7957 B=3851 C=9639 X=179635499 Y=4836512931 Z=96458660174 M=2069
A=5498 B=6208 C=8454 X=688171607 Y=1575515653 Z=78060814822 M=1272
A=9055 B=8357 C=7762 X=290708864 Y=4992595572 Z=86361339978 M=2726
A=4297 B=6179 C=6662 X=868745155 Y=7475419565 Z=87131487056 M=1507
A=3472 B=6429 C=6396 X=362513098 Y=2672926898 Z=83449713487 M=9364
A=5309 B=9913 C=7247 X=684886332 Y=2734217376 Z=20321869188 M=9426
A=9774 B=5975 C=7770 X=133982063 Y=9716398931 Z=57427808288 M=3470
A=9036 B=6692 C=9066 X=857762006 Y=9024313964 Z=21280739591 M=1052
A=9383 B=6439 C=7672 X=967092524 Y=8159706214 Z=60576430689 M=5759
A=8013 B=6219 C=7588 X=950690778 Y=3453834586 Z=46068106949 M=1350
A=6669 B=6001 C=8932 X=592921355 Y=1111584927 Z=88435597142 M=7565
A=8765 B=6657 C=6303 X=367059275 Y=1642014897 Z=22756168447 M=8805
A=8490 B=8646 C=6127 X=725285782 Y=7676290974 Z=45885937291 M=9155
A=3030 B=7223 C=5096 X=611437134 Y=8320265962 Z=62597815309 M=9135
A=6237 B=8507 C=5206 X=875925229 Y=6606549224 Z=36804251733 M=5415
A=3399 B=5310 C=7832 X=687183371 Y=4911224354 Z=86061607401 M=2777
A=2290 B=4187 C=6358 X=329705783 Y=3308114614 Z=16868057996 M=8880
A=3131 B=4737 C=5436 X=861971278 Y=8134183442 Z=64824160030 M=5219
A=8351 B=9946 C=5390 X=198896365 Y=1610751518 Z=13708275183 M=1299
A=7496 B=8669 C=7534 X=315418642 Y=9494110574 Z=60604428059 M=3765
A=2283 B=8566 C=8007 X=293254791 Y=3887532321 Z=78922480579 M=4856
A=5725 B=5801 C=8968 X=674764944 Y=2030174677 Z=20672246428 M=1917
A=7431 B=6277 C=8562 X=900271206 Y=5106292128 Z=48084399268 M=4461
A=5862 B=5038 C=6456 X=736892460 Y=1715920815 Z=71869169428 M=5985
A=7741 B=8406 C=5106 X=334146238 Y=6069106174 Z=44297790603 M=3955
A=3122 B=9139 C=8580 X=579645552 Y=1883012976 Z=72943580492 M=9139
A=4218 B=7709 C=7529 X=413407008 Y=7069948383 Z=62284392299 M=8020
A=9243 B=5620 C=9988 X=644851388 Y=9939999198 Z=19874479504 M=9478
A=8308 B=6524 C=6567 X=968793630 Y=6926778727 Z=57532488197 M=6262
A=7346 B=9941 C=9708 X=890777884 Y=3183456190 Z=48911669085 M=4185
A=6103 B=3949 C=6222 X=678654650 Y=8382666449 Z=43226437624 M=8786
A=8487 B=7420 C=5287 X=515919255 Y=7129754477 Z=74028867916 M=5776
A=2493 B=5595 C=5507 X=826884385 Y=6891690706 Z=33714284153 M=6661
A=8583 B=3258 C=5782 X=550138971 Y=9868074499 Z=57911766098 M=2463
A=3715 B=5920 C=5285 X=504383983 Y=5344765823 Z=90330145992 M=1600
A=2895 B=6451 C=9646 X=245379321 Y=8328567451 Z=77766365638 M=5112
A=2526 B=7666 C=6592 X=808501428 Y=6144346720 Z=20492756216 M=7201
A=7128 B=4972 C=9340 X=829850523 Y=9533965217 Z=10591995506 M=5786
A=3581 B=6763 C=9661 X=255588830 Y=8493817558 Z=69086869616 M=4377
A=8747 B=4903 C=5704 X=547704993 Y=6642501284 Z=20795601518 M=4313
A=9599 B=7705 C=6938 X=571940870 Y=1884849776 Z=39455638770 M=8983
A=8253 B=3509 C=8745 X=779784624 Y=8926905588 Z=67962722976 M=9720
A=4538 B=8412 C=9246 X=493596691 Y=7915854732 Z=74165889586 M=7819
A=3263 B=7491 C=5619 X=433903011 Y=6237329517 Z=65428421039 M=9657
A=2369 B=6495 C=6370 X=652146889 Y=4930949045 Z=35501593125 M=7037
A=8506 B=6952 C=9187 X=180025568 Y=6813717296 Z=95517724639 M=9097
A=4921 B=5240 C=6225 X=267698949 Y=9188022200 Z=83954665655 M=7016
A=4534 B=6452 C=5249 X=559032890 Y=9755748945 Z=40636131373 M=2484
A=9031 B=7050 C=6621 X=460565793 Y=1382229343 Z=30388407172 M=3886
A=6263 B=9060 C=6802 X=155797093 Y=8197540847 Z=67704013782 M=1472
A=9524 B=5289 C=8848 X=946514802 Y=5277174565 Z=11840475518 M=3176
A=5885 B=8931 C=6905 X=254209097 Y=3321361680 Z=95347852141 M=6098
A=8267 B=4428 C=7821 X=140434816 Y=7382816581 Z=76982144602 M=4747
A=9962 B=8863 C=5314 X=796576119 Y=5743549207 Z=86848251760 M=8405
A=6390 B=5673 C=8580 X=965853204 Y=2555492364 Z=87162776559 M=5454
A=4529 B=4406 C=7840 X=154283420 Y=4339312486 Z=98077047034 M=3166
A=5161 B=7732 C=5038 X=813877996 Y=9811520065 Z=42370428205 M=1174
A=5183 B=9905 C=5810 X=171281697 Y=6856909261 Z=40651534720 M=1465
A=6493 B=8241 C=7071 X=947593782 Y=3346759009 Z=63830779512 M=7800
A=4175 B=6839 C=9823 X=666764861 Y=4155691807 Z=29875412288 M=1709
A=7504 B=7355 C=5004 X=303012541 Y=6511792382 Z=64420224472 M=2548
A=3690 B=6304 C=5027 X=624065943 Y=3241994401 Z=35972855192 M=8691
A=9707 B=8898 C=7357 X=573431971 Y=1176405393 Z=27728158109 M=9700
A=2550 B=6978 C=8258 X=446339983 Y=5561076065 Z=19560659394 M=3790
A=9164 B=4610 C=9940 X=937044384 Y=1190608172 Z=28068696106 M=3935
A=5353 B=8937 C=8099 X=157502440 Y=3938342260 Z=61001198386 M=6267
A=4637 B=3206 C=6032 X=170655136 Y=9945680307 Z=89386363723 M=6676
A=5113 B=9408 C=5391 X=834839479 Y=5748475426 Z=16912017795 M=8345
A=2254 B=4083 C=5201 X=745055019 Y=8452445352 Z=35778343519 M=5602
A=5565 B=5434 C=9401 X=244032212 Y=3418443615 Z=15377495229 M=4238
A=2277 B=3478 C=8543 X=118083545 Y=9695151553 Z=89599382568 M=3477
A=4084 B=5433 C=5800 X=215192013 Y=9718087779 Z=25223057274 M=4462
A=9937 B=3943 C=9127 X=908394835 Y=6669202591 Z=38698629707 M=9770
A=7188 B=4031 C=5041 X=340247928 Y=9927457100 Z=87374516157 M=5329
A=4408 B=7006 C=9360 X=753510981 Y=5289681423 Z=37147333828 M=7942
A=4466 B=8212 C=9595 X=238647485 Y=9748977121 Z=14616552800 M=2869
A=5257 B=7509 C=6861 X=878565246 Y=4406608656 Z=65458580695 M=5502
A=8070 B=3081 C=8034 X=731780373 Y=2298902529 Z=42701282367 M=7952
A=2081 B=9679 C=6798 X=449982252 Y=5988997543 Z=58272050657 M=1272
A=3129 B=9141 C=5283 X=680587210 Y=4404276201 Z=53175076943 M=2268
A=5067 B=6587 C=9774 X=719408686 Y=8427418785 Z=52740795207 M=8602
A=5886 B=7354 C=7297 X=847496150 Y=9722567623 Z=67799477415 M=1599
A=9291 B=9792 C=7931 X=563388417 Y=1641724440 Z=80021721578 M=3821
A=3806 B=9764 C=9465 X=938575417 Y=3078991330 Z=76216834262 M=3588
A=9835 B=4718 C=7076 X=684089607 Y=4457487665 Z=54573444409 M=6483
A=6922 B=6845 C=6534 X=402557522 Y=6271632554 Z=35060194603 M=2271
A=7203 B=9741 C=8021 X=250267702 Y=8635962164 Z=38711636455 M=1953
A=6922 B=6536 C=7735 X=732718964 Y=8603618579 Z=70667351053 M=1150
A=3788 B=7432 C=9225 X=264354731 Y=8195216382 Z=36396718230 M=5129
A=2264 B=5845 C=7516 X=670877787 Y=8332912538 Z=71139294844 M=8664
A=2058 B=7470 C=7901 X=229527584 Y=6701486734 Z=26580777625 M=1259
A=7979 B=3968 C=8909 X=437621647 Y=4594844379 Z=82229369085 M=3411
A=6106 B=5251 C=8045 X=348457473 Y=9221212885 Z=64409077047 M=5505
A=2356 B=8114 C=6629 X=569254823 Y=6266336194 Z=13831411522 M=9251
A=9354 B=7708 C=5679 X=798145421 Y=2290563562 Z=19819792795 M=4925
A=7776 B=8278 C=5341 X=621675703 Y=8934728248 Z=24533557324 M=8427
A=9569 B=3218 C=6147 X=764208928 Y=6553839241 Z=35968393263 M=6683
A=5098 B=5548 C=9449 X=458828953 Y=2135679259 Z=69279077563 M=2531
A=9798 B=9360 C=8941 X=299698128 Y=4072048189 Z=97263616426 M=4864
A=3281 B=9018 C=7019 X=589065612 Y=4881113452 Z=67854116963 M=8713
A=7891 B=8811 C=9615 X=862595714 Y=6285406023 Z=81340567693 M=4547
A=3557 B=3813 C=8666 X=937095022 Y=6286357550 Z=94178117819 M=6745
A=3070 B=4559 C=9626 X=352022031 Y=1448000543 Z=95602992747 M=8752
A=5388 B=9755 C=6915 X=404636177 Y=3913751797 Z=35983829565 M=1011
A=9307 B=6417 C=7310 X=154269542 Y=8175173997 Z=26416707891 M=3469
A=6989 B=5535 C=5137 X=857421118 Y=5687268549 Z=39034952079 M=3913
A=8702 B=6828 C=6929 X=832549719 Y=8911514201 Z=79849500006 M=2828
A=4410 B=4704 C=9139 X=191071957 Y=1892508219 Z=85442062373 M=1034
A=6311 B=4368 C=6270 X=743143170 Y=3916684872 Z=35627210984 M=6372
A=4517 B=4566 C=5142 X=398964310 Y=1912852712 Z=87329294064 M=2961
A=9680 B=3967 C=7383 X=620743189 Y=1199512875 Z=10358939893 M=1123
A=9470 B=5943 C=6932 X=814886718 Y=6106605176 Z=25978543066 M=7761
A=2946 B=4109 C=9876 X=149575195 Y=9726048233 Z=18137053551 M=4115
A=3030 B=8792 C=5826 X=563359878 Y=5910543419 Z=93573637928 M=7765
A=5186 B=6020 C=8454 X=178279072 Y=1431123714 Z=93209520735 M=4267
A=7441 B=3978 C=5244 X=930638791 Y=5104658485 Z=68422564926 M=6550
A=3398 B=7258 C=5774 X=611702084 Y=4893544895 Z=18363687231 M=7756
A=5747 B=7774 C=7345 X=682689400 Y=8215074810 Z=15852697953 M=2503
A=2630 B=4963 C=5288 X=354494398 Y=5215617610 Z=34987218627 M=7266
A=8714 B=3505 C=6221 X=434743545 Y=7877366231 Z=79693983477 M=3246
A=2734 B=6303 C=8756 X=426994475 Y=9652732286 Z=93634287816 M=7988
A=6215 B=4079 C=5686 X=469576398 Y=8477898677 Z=54262305248 M=8876
A=6189 B=3539 C=8243 X=866457508 Y=9975596563 Z=14765233752 M=5454
A=9564 B=7848 C=7265 X=771611986 Y=9609079401 Z=91692927459 M=2412
A=5078 B=8329 C=9766 X=266113885 Y=8644040138 Z=10764935809 M=8134
A=8056 B=3633 C=8627 X=679173038 Y=1791202621 Z=85832337099 M=8061
A=3859 B=4972 C=6207 X=438791282 Y=9305448147 Z=96376338393 M=8629
A=5314 B=8754 C=9269 X=362999220 Y=6588543009 Z=43669471584 M=9204
A=7626 B=6830 C=6480 X=889540411 Y=3258220282 Z=29689294317 M=5407
A=5681 B=8445 C=6377 X=226807048 Y=9137652749 Z=45547970318 M=5371
A=2687 B=4208 C=6977 X=828190634 Y=5611381490 Z=83708949804 M=6203
A=5822 B=4578 C=9356 X=264010111 Y=8843931862 Z=64490130787 M=6993
A=4733 B=9222 C=8737 X=630791061 Y=6953224784 Z=50416413175 M=7292
A=5693 B=6586 C=7271 X=673093431 Y=6980635189 Z=57946152842 M=8206
A=2717 B=4186 C=9670 X=398417400 Y=8734170992 Z=33154894428 M=4085
A=4378 B=9351 C=6411 X=299613192 Y=9552132224 Z=60910982653 M=6369
A=7173 B=8094 C=8065 X=619290945 Y=4082531208 Z=70200514652 M=9619
A=6100 B=8278 C=7094 X=203281842 Y=7092266753 Z=87479756738 M=9707
A=3155 B=9074 C=9943 X=292610007 Y=3684428279 Z=34256643783 M=5608
A=3367 B=4183 C=6459 X=835858416 Y=4026565117 Z=55538206067 M=6550
A=4331 B=3973 C=7241 X=778014024 Y=4267043525 Z=63785431640 M=5498
A=5342 B=8359 C=5059 X=235357104 Y=6935414848 Z=52268083201 M=3068
A=9773 B=3062 C=7792 X=765493244 Y=1698609947 Z=83097834069 M=4548
A=9992 B=7496 C=7491 X=173136756 Y=5467045987 Z=64832664726 M=3634
A=6503 B=9460 C=7291 X=670281253 Y=3781347364 Z=64076756636 M=2810
A=5983 B=6057 C=6950 X=883118682 Y=4592911089 Z=87592745803 M=3495
A=9746 B=5967 C=8175 X=607837562 Y=7921836487 Z=85833817166 M=9698
A=4369 B=7641 C=7526 X=739581820 Y=6532922062 Z=16886835175 M=8447
A=6605 B=9800 C=5542 X=754428100 Y=6881891345 Z=96269245613 M=3317
A=2267 B=4256 C=6199 X=413475599 Y=7216236937 Z=55935139729 M=4988
A=5139 B=5995 C=5183 X=546996420 Y=1808648728 Z=91488442731 M=9384
A=9604 B=5959 C=5530 X=988080278 Y=6962749172 Z=57049802052 M=2072
A=4165 B=3796 C=5335 X=733547482 Y=8782016319 Z=86981048352 M=1416
A=3457 B=7180 C=5973 X=537490356 Y=4896375701 Z=71960702159 M=4868
A=4766 B=4907 C=7716 X=969687147 Y=8338119865 Z=50559487948 M=4328
A=2857 B=3120 C=8289 X=224046221 Y=6858941518 Z=87231196723 M=4509
A=9018 B=4465 C=8662 X=447608734 Y=8720111869 Z=62356467700 M=2374
A=5758 B=3606 C=5356 X=519372332 Y=6495666974 Z=83849417937 M=9440
A=6422 B=3840 C=7749 X=528020960 Y=9262889262 Z=46310969358 M=7588
A=3953 B=9604 C=9969 X=685141502 Y=7774200354 Z=96653379104 M=8404
A=9306 B=5150 C=6189 X=947949728 Y=4314004100 Z=79030748855 M=5197
A=4003 B=4699 C=5021 X=146788076 Y=6301141430 Z=51946813610 M=3080
A=4813 B=5161 C=5693 X=783693344 Y=1394099034 Z=65984075032 M=5927
A=4381 B=6593 C=6835 X=572249320 Y=7823686305 Z=53168208501 M=5965
A=7776 B=5270 C=9464 X=990412843 Y=7710299851 Z=67547385344 M=9415
A=6201 B=5280 C=7289 X=530843398 Y=5308654031 Z=28771785667 M=2002
A=2218 B=8825 C=8581 X=143118101 Y=1851560305 Z=70896737335 M=5347
A=3836 B=6993 C=6740 X=688759812 Y=3561378027 Z=57165967557 M=1398
A=5392 B=7817 C=7501 X=781099281 Y=2976189580 Z=99255481396 M=7917
A=4897 B=8967 C=7517 X=185364873 Y=2141479689 Z=25358110258 M=4619
A=5300 B=9462 C=6061 X=657675453 Y=1114213943 Z=29416822203 M=1532
A=9775 B=3512 C=8488 X=224685895 Y=6712584143 Z=31518600665 M=5603
A=7065 B=5830 C=9796 X=516330579 Y=7454201339 Z=12766919063 M=8942
A=8200 B=5306 C=8141 X=953682317 Y=9043769375 Z=71907678785 M=6352
A=6119 B=5977 C=9971 X=784771142 Y=3943415318 Z=35364487291 M=9545
A=9142 B=3909 C=5785 X=125987163 Y=1230973825 Z=40069096667 M=8057
A=3087 B=8978 C=9241 X=155001228 Y=1007751899 Z=80115513484 M=1359
A=5397 B=5954 C=9202 X=979147188 Y=4201028743 Z=63762487229 M=8144
A=8883 B=9153 C=7684 X=564906665 Y=5639824887 Z=37684836941 M=1543
A=8818 B=9195 C=9775 X=947484438 Y=1040419993 Z=36955881683 M=4443
A=6357 B=8549 C=9332 X=347665555 Y=4099725891 Z=73317970149 M=6581
A=6298 B=5005 C=6189 X=271595395 Y=1996545930 Z=23651034092 M=6404
A=8323 B=7899 C=6775 X=897321318 Y=7120219941 Z=79021574233 M=2701
A=6665 B=6301 C=6532 X=929780398 Y=7111784523 Z=92354294858 M=9027
A=9099 B=8547 C=5799 X=436505390 Y=8742258272 Z=28178520349 M=4758
A=5126 B=8646 C=5694 X=261885100 Y=5706462524 Z=35167488293 M=4013
A=6422 B=7823 C=9492 X=582952130 Y=7355720047 Z=84785098772 M=9729
A=7112 B=3182 C=5202 X=445028630 Y=9560923301 Z=63886748831 M=3498
A=7649 B=7230 C=9434 X=753814087 Y=3107012499 Z=55022641073 M=8004
A=5531 B=4324 C=9221 X=700796939 Y=1915597567 Z=36799033020 M=6987
A=4995 B=7032 C=9008 X=947362301 Y=8302078559 Z=66507244322 M=3340
A=6637 B=6709 C=7311 X=956779728 Y=9676279353 Z=43170327968 M=8669
A=9773 B=6097 C=8856 X=470949570 Y=7819321536 Z=38964497122 M=5624
A=8944 B=5286 C=8010 X=998938368 Y=5911205449 Z=19662892265 M=2257
A=2745 B=9493 C=5378 X=248813960 Y=7465393121 Z=30142091535 M=4306
A=7061 B=6370 C=6164 X=165542567 Y=2939704268 Z=17212027296 M=4919
A=9284 B=3258 C=5631 X=378062838 Y=2809918155 Z=75053565144 M=1736
A=4207 B=6901 C=5720 X=809352019 Y=1194032482 Z=96623621117 M=4501
A=3388 B=8887 C=8672 X=996362829 Y=3664136599 Z=16956360586 M=1044
A=6309 B=5184 C=7064 X=773012533 Y=9301638016 Z=58040050277 M=4093
A=9430 B=6695 C=9946 X=100516082 Y=3751155066 Z=56216260027 M=7922
A=9872 B=8110 C=5233 X=834343198 Y=3808632028 Z=93010053676 M=9186
A=6781 B=8292 C=9003 X=730914711 Y=2078349007 Z=47856895419 M=3911
A=2152 B=6203 C=5719 X=356948723 Y=2383265289 Z=32312005307 M=2398
A=6868 B=6199 C=8521 X=637637698 Y=6297782401 Z=64085228226 M=4266
A=8573 B=3836 C=5403 X=407599714 Y=8775027296 Z=14758034943 M=8184
A=7238 B=5966 C=5248 X=420735996 Y=6121475851 Z=76350018913 M=3586
A=3204 B=4339 C=8588 X=489737261 Y=1820251660 Z=29708165139 M=7819
A=9404 B=5351 C=7033 X=105614735 Y=3099287856 Z=85645101269 M=1694
A=8468 B=7990 C=5529 X=132039205 Y=8869172391 Z=16763822534 M=1677
A=7816 B=3619 C=8786 X=137175143 Y=8506705114 Z=29320153945 M=7022
A=9721 B=4228 C=8526 X=539737839 Y=5473896183 Z=82481925913 M=1098
A=7769 B=6831 C=5384 X=406135189 Y=5357867257 Z=33412944923 M=9202
A=6910 B=4908 C=7349 X=372657920 Y=9502429779 Z=13115582238 M=7560
A=2652 B=9034 C=8411 X=812663844 Y=4190446101 Z=64094105528 M=2580
A=3187 B=7178 C=6347 X=921388165 Y=4930628035 Z=45269198368 M=2884
A=6620 B=4924 C=8857 X=532776412 Y=1395856497 Z=13072419869 M=1873
A=9843 B=9786 C=9505 X=948467437 Y=1852843685 Z=18388189554 M=3199
A=3059 B=7396 C=7468 X=253429921 Y=6733860687 Z=10000576238 M=5316
A=9061 B=8634 C=6816 X=264714302 Y=3343093586 Z=92068845041 M=3134
A=5835 B=5733 C=8336 X=663790656 Y=3179222378 Z=70500957977 M=2411
A=4970 B=9249 C=9752 X=791833722 Y=2378682687 Z=61625040015 M=7473
A=2938 B=4417 C=9241 X=103487613 Y=6591632517 Z=84806820893 M=3283
A=9601 B=9775 C=8455 X=794048860 Y=3042257065 Z=90705912266 M=3432
A=2748 B=3381 C=7147 X=439760711 Y=6166860608 Z=34320982376 M=1657
A=3609 B=3590 C=9511 X=843175966 Y=5625878159 Z=30683927625 M=5220
A=6974 B=6146 C=5903 X=772465430 Y=6566645832 Z=79616922989 M=8031
A=6509 B=7585 C=8531 X=686743899 Y=2330408719 Z=29050828305 M=4290
A=3987 B=5468 C=9730 X=998134407 Y=1945949219 Z=53852906123 M=7525
A=3515 B=4485 C=7822 X=800188579 Y=7465088929 Z=12400366810 M=4666
A=8106 B=9122 C=9950 X=558798892 Y=6268064485 Z=50559747771 M=3453
A=2980 B=5740 C=6853 X=455105961 Y=3892650756 Z=29260697918 M=9652
A=4020 B=9847 C=7742 X=884110508 Y=5503568535 Z=88762480543 M=6715
A=6841 B=5199 C=7621 X=523592084 Y=6346545712 Z=76079368663 M=1675
A=6100 B=8408 C=6236 X=127293116 Y=4538108263 Z=69012576611 M=6662
A=9992 B=6502 C=9858 X=409221695 Y=6507525906 Z=99482780763 M=1627
A=4334 B=4760 C=6559 X=682369863 Y=2139443789 Z=13414350894 M=5444
A=8706 B=5486 C=6617 X=870063153 Y=5740983539 Z=56639111386 M=5868
A=4069 B=5122 C=9546 X=207502976 Y=6191846217 Z=41241519350 M=7740
A=9900 B=5681 C=8479 X=608516371 Y=2001840640 Z=71055634694 M=2860
A=3322 B=6826 C=9276 X=148908022 Y=7006164535 Z=17367711681 M=9442
A=6121 B=3372 C=8537 X=396669434 Y=8207154937 Z=91208355475 M=3820
A=6459 B=5999 C=5937 X=225504506 Y=5039104913 Z=78141010347 M=5288
A=3717 B=6850 C=6091 X=540576911 Y=3388995503 Z=34273394547 M=7151
A=7756 B=7976 C=8952 X=710846098 Y=3236867838 Z=73674588070 M=8681
A=4391 B=4017 C=9878 X=518270257 Y=1567010703 Z=92038234492 M=6921
A=7011 B=7077 C=7921 X=561235237 Y=5431913915 Z=71680415329 M=2638
A=6206 B=9915 C=5311 X=930285997 Y=8609386739 Z=57416191992 M=3233
A=3234 B=4132 C=9575 X=546961559 Y=7901843193 Z=35901437783 M=1948
A=9172 B=8441 C=7438 X=394190753 Y=5412489899 Z=30695800647 M=2826
A=5311 B=7196 C=8143 X=937895613 Y=1761873731 Z=39806398914 M=1631
A=8341 B=3164 C=8139 X=531087691 Y=3132529003 Z=30416663838 M=4632
A=5935 B=4269 C=8397 X=912636266 Y=9606875999 Z=58552966540 M=5556
A=9733 B=5371 C=7353 X=274517228 Y=5084023207 Z=53936741378 M=2939
A=5846 B=9082 C=6508 X=820848394 Y=2152879870 Z=48216260531 M=2431
A=4246 B=3052 C=9385 X=785887832 Y=2495062258 Z=71528908603 M=1234
A=5941 B=6014 C=6632 X=538147783 Y=1135893755 Z=12821052176 M=3507
A=9124 B=9727 C=6108 X=668550499 Y=3447265538 Z=47978290418 M=6179
A=8306 B=5694 C=7148 X=394563360 Y=4821784180 Z=84891886198 M=2700
A=6380 B=6973 C=7325 X=644839385 Y=9064402497 Z=30480340830 M=2013
A=5487 B=8688 C=5479 X=934927512 Y=2344488859 Z=44060352033 M=2101
A=4171 B=9204 C=9481 X=958193632 Y=7980896556 Z=67210828258 M=9965
A=7476 B=4288 C=9676 X=246470818 Y=1632183477 Z=41910441919 M=4723
A=3203 B=9009 C=9318 X=116980259 Y=4287244462 Z=58265680907 M=2530
A=7318 B=3398 C=8077 X=156641609 Y=2774063607 Z=28706893651 M=8216
A=8587 B=5569 C=8351 X=110800011 Y=7157791632 Z=45936177194 M=5703
A=7575 B=9970 C=5406 X=879218416 Y=5062194551 Z=43814794202 M=1097
A=4598 B=5071 C=8655 X=539249871 Y=2779986945 Z=99365847134 M=4070
A=4834 B=7902 C=9754 X=671626066 Y=4632039632 Z=46737830201 M=9752
A=9319 B=3189 C=7913 X=945811632 Y=2872041923 Z=73185938701 M=4098
A=8467 B=8790 C=5815 X=955412327 Y=1839926597 Z=41792977896 M=3684
A=7307 B=7509 C=5564 X=785915480 Y=1707882511 Z=61374947094 M=4730
